Year,FullTeam,ID,Payroll
2005,Boston Red Sox,5,123505125
2005,Chicago Cubs,6,87032933
2005,Chicago White Sox,7,75178000
2005,Cincinnati Reds,8,61892583
2005,Cleveland Indians,35,41502500
2005,Colorado Rockies,10,48155000
2005,Detroit Tigers,11,69092000
2005,Florida Marlins,34,60408834
2005,Houston Astros,13,76779000
2005,Kansas City Royals,14,36881000
2005,Los Angeles Dodgers,15,83039000
2005,Milwaukee Brewers,16,39934833
2005,Minnesota Twins,17,56186000
2005,New York Mets,19,101305821
2005,New York Yankees,20,208306817
2005,Oakland Athletics,21,55425762
2005,Philadelphia Phillies,22,95522000
2005,Pittsburgh Pirates,23,38133000
2005,San Diego Padres,24,63290833
2005,San Francisco Giants,25,90199500
2005,Seattle Mariners,26,87754334
2005,St. Louis Cardinals,27,92106833
2005,Tampa Bay Rays,28,29679067
2005,Texas Rangers,29,55849000
2005,Toronto Blue Jays,30,45719500
2005,Washington Nationals,32,48581500
2005,Los Angeles Angels of Ana,36,97725322
2004,Anaheim Angels,36,100534667
2004,Arizona Diamondbacks,2,69780750
2004,Atlanta Braves,3,90182500
2004,Baltimore Orioles,4,51623333
2004,Boston Red Sox,5,127298500
2004,Chicago Cubs,6,90560000
2004,Chicago White Sox,7,65212500
2004,Cincinnati Reds,8,46615250
2004,Cleveland Indians,35,34319300
2004,Colorado Rockies,10,65445167
2004,Detroit Tigers,11,46832000
2004,Florida Marlins,34,42143042
2004,Houston Astros,13,75397000
2004,Kansas City Royals,14,47609000
2004,Los Angeles Dodgers,15,92902001
2004,Milwaukee Brewers,16,27528500
2004,Minnesota Twins,17,53585000
2004,Montreal Expos,32,41197500
2004,New York Mets,19,96660970
2004,New York Yankees,20,184193950
2004,Oakland Athletics,21,59425667
2004,Philadelphia Phillies,22,93219167
2004,Pittsburgh Pirates,23,32227929
2004,San Diego Padres,24,55384833
2004,San Francisco Giants,25,82019166
2004,Seattle Mariners,26,81515834
2004,St. Louis Cardinals,27,83228333
2004,Tampa Bay Rays,28,29556667
2004,Texas Rangers,29,55050417
2004,Toronto Blue Jays,30,50017000
2003,Anaheim Angels,36,79031667
2003,Arizona Diamondbacks,2,80640333
2003,Atlanta Braves,3,106243667
2003,Baltimore Orioles,4,73877500
2003,Boston Red Sox,5,99946500
2003,Chicago Cubs,6,79868333
2003,Chicago White Sox,7,51010000
2003,Cincinnati Reds,8,59355667
2003,Cleveland Indians,35,45584834
2003,Colorado Rockies,10,67179667
2003,Detroit Tigers,11,49168000
2003,Florida Marlins,34,49050000
2003,Houston Astros,13,71040000
2003,Kansas City Royals,14,40518000
2003,Los Angeles Dodgers,15,105872620
2003,Milwaukee Brewers,16,40627000
2003,Minnesota Twins,17,55505000
2003,Montreal Expos,32,51948500
2003,New York Mets,19,117176429
2003,New York Yankees,20,152749814
2003,Oakland Athletics,21,50260834
2003,Philadelphia Phillies,22,70780000
2003,Pittsburgh Pirates,23,54812429
2003,San Diego Padres,24,47928000
2003,San Francisco Giants,25,82852167
2003,Seattle Mariners,26,86959167
2003,St. Louis Cardinals,27,83486666
2003,Tampa Bay Rays,28,19630000
2003,Texas Rangers,29,103491667
2003,Toronto Blue Jays,30,51269000
2002,Anaheim Angels,36,61721667
2002,Arizona Diamondbacks,2,102819999
2002,Atlanta Braves,3,93470367
2002,Baltimore Orioles,4,60493487
2002,Boston Red Sox,5,108366060
2002,Chicago Cubs,6,75690833
2002,Chicago White Sox,7,57052833
2002,Cincinnati Reds,8,45050390
2002,Cleveland Indians,35,78909449
2002,Colorado Rockies,10,56851043
2002,Detroit Tigers,11,55048000
2002,Florida Marlins,34,41979917
2002,Houston Astros,13,63448417
2002,Kansas City Royals,14,47257000
2002,Los Angeles Dodgers,15,94850953
2002,Milwaukee Brewers,16,50287833
2002,Minnesota Twins,17,40225000
2002,Montreal Expos,32,38670500
2002,New York Mets,19,94633593
2002,New York Yankees,20,125928583
2002,Oakland Athletics,21,40004167
2002,Philadelphia Phillies,22,57957999
2002,Pittsburgh Pirates,23,42323599
2002,San Diego Padres,24,41425000
2002,San Francisco Giants,25,78299835
2002,Seattle Mariners,26,80282668
2002,St. Louis Cardinals,27,74660875
2002,Tampa Bay Rays,28,34380000
2002,Texas Rangers,29,105726122
2002,Toronto Blue Jays,30,76864333
2001,Anaheim Angels,36,47735168
2001,Arizona Diamondbacks,2,85247999
2001,Atlanta Braves,3,91936166
2001,Baltimore Orioles,4,74279540
2001,Boston Red Sox,5,109675833
2001,Chicago Cubs,6,64515833
2001,Chicago White Sox,7,65628667
2001,Cincinnati Reds,8,48784000
2001,Cleveland Indians,35,92660001
2001,Colorado Rockies,10,71541334
2001,Detroit Tigers,11,49356167
2001,Florida Marlins,34,35562500
2001,Houston Astros,13,60387667
2001,Kansas City Royals,14,35422500
2001,Los Angeles Dodgers,15,109105953
2001,Milwaukee Brewers,16,45099333
2001,Minnesota Twins,17,24130000
2001,Montreal Expos,32,34849500
2001,New York Mets,19,93674428
2001,New York Yankees,20,112287143
2001,Oakland Athletics,21,33810750
2001,Philadelphia Phillies,22,41663833
2001,Pittsburgh Pirates,23,57760833
2001,San Diego Padres,24,38882833
2001,San Francisco Giants,25,63280167
2001,Seattle Mariners,26,74720834
2001,St. Louis Cardinals,27,78333333
2001,Tampa Bay Rays,28,56980000
2001,Texas Rangers,29,88633500
2001,Toronto Blue Jays,30,76895999
2000,Anaheim Angels,36,55766667
2000,Arizona Diamondbacks,2,77880333
2000,Atlanta Braves,3,82732500
2000,Baltimore Orioles,4,83141198
2000,Boston Red Sox,5,81210333
2000,Chicago Cubs,6,62129333
2000,Chicago White Sox,7,31159000
2000,Cincinnati Reds,8,44217500
2000,Cleveland Indians,35,76508334
2000,Colorado Rockies,10,64130857
2000,Detroit Tigers,11,61740167
2000,Florida Marlins,34,19870000
2000,Houston Astros,13,52356667
2000,Kansas City Royals,14,23132500
2000,Los Angeles Dodgers,15,90725953
2000,Milwaukee Brewers,16,35782833
2000,Minnesota Twins,17,15654500
2000,Montreal Expos,32,33527666
2000,New York Mets,19,79759762
2000,New York Yankees,20,92938260
2000,Oakland Athletics,21,32121833
2000,Philadelphia Phillies,22,46947667
2000,Pittsburgh Pirates,23,29561667
2000,San Diego Padres,24,54971000
2000,San Francisco Giants,25,53541000
2000,Seattle Mariners,26,59215000
2000,St. Louis Cardinals,27,63993023
2000,Tampa Bay Rays,28,64407910
2000,Texas Rangers,29,70785000
2000,Toronto Blue Jays,30,46363332
1999,Anaheim Angels,36,49893166
1999,Arizona Diamondbacks,2,70370999
1999,Atlanta Braves,3,75065000
1999,Baltimore Orioles,4,70818363
1999,Boston Red Sox,5,71720000
1999,Chicago Cubs,6,55368500
1999,Chicago White Sox,7,24550000
1999,Cincinnati Reds,8,42142761
1999,Cleveland Indians,35,73853962
1999,Colorado Rockies,10,54392504
1999,Detroit Tigers,11,34959666
1999,Florida Marlins,34,15150000
1999,Houston Astros,13,55289000
1999,Kansas City Royals,14,16527000
1999,Los Angeles Dodgers,15,71135786
1999,Milwaukee Brewers,16,42927395
1999,Minnesota Twins,17,16355000
1999,Montreal Expos,32,16363000
1999,New York Mets,19,71331425
1999,New York Yankees,20,88130709
1999,Oakland Athletics,21,24150333
1999,Philadelphia Phillies,22,30516500
1999,Pittsburgh Pirates,23,24217666
1999,San Diego Padres,24,45932179
1999,San Francisco Giants,25,46059557
1999,Seattle Mariners,26,44371336
1999,St. Louis Cardinals,27,46248195
1999,Tampa Bay Rays,28,37812500
1999,Texas Rangers,29,81301598
1999,Toronto Blue Jays,30,48165333
1998,Anaheim Angels,36,38537000
